scenario_name,test_name,mode_free_or_anchored,joint_name,joint_type,joint_max_delta_deg_or_mm,limit_hit
underfilled,fold_brushing,free,front_face_03_hinge,hinge_deg,0.705768,False
underfilled,fold_brushing,free,lower_belly_00_hinge,hinge_deg,0.476246,False
underfilled,fold_brushing,free,lower_belly_01_hinge,hinge_deg,0.480714,False
underfilled,fold_brushing,free,lower_belly_02_hinge,hinge_deg,0.481452,False
underfilled,fold_brushing,free,lower_belly_03_hinge,hinge_deg,0.479763,False
underfilled,fold_brushing,free,payload_aux_x,slide_mm,0.228799,False
underfilled,fold_brushing,free,payload_aux_y,slide_mm,0.636495,False
underfilled,fold_brushing,free,payload_aux_z,slide_mm,0.388111,True
underfilled,fold_brushing,free,payload_main_x,slide_mm,0.114906,False
underfilled,fold_brushing,free,payload_main_y,slide_mm,0.674315,False
underfilled,fold_brushing,free,payload_main_z,slide_mm,0.161497,False
underfilled,fold_brushing,free,shoulder_left_00_hinge,hinge_deg,1.144297,False
underfilled,fold_brushing,free,shoulder_left_01_hinge,hinge_deg,0.027613,False
underfilled,fold_brushing,free,shoulder_left_02_hinge,hinge_deg,1.088337,False
underfilled,fold_brushing,free,shoulder_right_00_hinge,hinge_deg,1.117612,False
underfilled,fold_brushing,free,shoulder_right_01_hinge,hinge_deg,0.002246,False
underfilled,fold_brushing,free,shoulder_right_02_hinge,hinge_deg,1.110877,False
underfilled,fold_brushing,free,side_gusset_left_00_hinge,hinge_deg,1.305328,False
underfilled,fold_brushing,free,side_gusset_left_01_hinge,hinge_deg,1.221418,False
underfilled,fold_brushing,free,side_gusset_right_00_hinge,hinge_deg,1.249542,False
underfilled,fold_brushing,free,side_gusset_right_01_hinge,hinge_deg,1.165500,False
underfilled,fold_brushing,free,top_seam_00_hinge,hinge_deg,0.029981,False
underfilled,fold_brushing,free,top_seam_01_hinge,hinge_deg,0.119597,False
underfilled,fold_brushing,free,top_seam_02_hinge,hinge_deg,0.042088,False
underfilled,fold_brushing,free,top_seam_03_hinge,hinge_deg,0.013466,False
underfilled,fold_brushing,free,top_seam_04_hinge,hinge_deg,0.049776,False
underfilled,fold_brushing,free,top_seam_05_hinge,hinge_deg,0.026725,False
underfilled,fold_brushing,free,top_seam_06_hinge,hinge_deg,0.038281,False
underfilled,shoulder_poke_left,anchored,back_face_00_hinge,hinge_deg,0.816125,False
underfilled,shoulder_poke_left,anchored,back_face_01_hinge,hinge_deg,0.866894,False
underfilled,shoulder_poke_left,anchored,back_face_02_hinge,hinge_deg,0.812718,False
underfilled,shoulder_poke_left,anchored,back_face_03_hinge,hinge_deg,0.660653,False
underfilled,shoulder_poke_left,anchored,bottom_sling_slide,slide_mm,0.501346,False
underfilled,shoulder_poke_left,anchored,fold_patch_left_hinge,hinge_deg,0.693101,False
underfilled,shoulder_poke_left,anchored,fold_patch_right_hinge,hinge_deg,1.012180,False
underfilled,shoulder_poke_left,anchored,front_face_00_hinge,hinge_deg,0.776331,False
underfilled,shoulder_poke_left,anchored,front_face_01_hinge,hinge_deg,0.827310,False
underfilled,shoulder_poke_left,anchored,front_face_02_hinge,hinge_deg,0.772352,False
underfilled,shoulder_poke_left,anchored,front_face_03_hinge,hinge_deg,0.614657,False
underfilled,shoulder_poke_left,anchored,lower_belly_00_hinge,hinge_deg,0.353965,False
underfilled,shoulder_poke_left,anchored,lower_belly_01_hinge,hinge_deg,0.357910,False
underfilled,shoulder_poke_left,anchored,lower_belly_02_hinge,hinge_deg,0.358928,False
underfilled,shoulder_poke_left,anchored,lower_belly_03_hinge,hinge_deg,0.358036,False
underfilled,shoulder_poke_left,anchored,payload_aux_x,slide_mm,0.187725,False
underfilled,shoulder_poke_left,anchored,payload_aux_y,slide_mm,0.626136,False
underfilled,shoulder_poke_left,anchored,payload_aux_z,slide_mm,0.444924,True
underfilled,shoulder_poke_left,anchored,payload_main_x,slide_mm,0.104308,False
underfilled,shoulder_poke_left,anchored,payload_main_y,slide_mm,0.625207,False
underfilled,shoulder_poke_left,anchored,payload_main_z,slide_mm,0.405293,False
underfilled,shoulder_poke_left,anchored,shoulder_left_00_hinge,hinge_deg,1.066516,False
underfilled,shoulder_poke_left,anchored,shoulder_left_01_hinge,hinge_deg,0.162801,False
underfilled,shoulder_poke_left,anchored,shoulder_left_02_hinge,hinge_deg,0.851394,False
underfilled,shoulder_poke_left,anchored,shoulder_right_00_hinge,hinge_deg,0.959812,False
underfilled,shoulder_poke_left,anchored,shoulder_right_01_hinge,hinge_deg,0.001945,False
underfilled,shoulder_poke_left,anchored,shoulder_right_02_hinge,hinge_deg,0.954041,False
